Invoice ID,Branch,City,Product line,Unit price,Quantity,COGS,VAT,Total ,gross income,gross margin percentage,Rating,Customer type,Gender,Payment,Date,Day name,Month name,Time,Time of day
750-67-8428,A,Yangon,Health and beauty,74.69,7,522.83,26.1415,548.9715,26.1415,4.761904762,9.1,Member,Female,Ewallet,1/5/2019,Saturday,January,13:08:00,Afternoon
226-31-3081,C,Naypyitaw,Electronic accessories,15.28,5,76.4,3.82,80.22,3.82,4.761904762,9.6,Normal,Female,Cash,3/8/2019,Friday,March,10:29:00,Morning
631-41-3108,A,Yangon,Home and lifestyle,46.33,7,324.31,16.2155,340.5255,16.2155,4.761904762,7.4,Normal,Male,Credit card,3/3/2019,Sunday,March,13:23:00,Afternoon
123-19-1176,A,Yangon,Health and beauty,58.22,8,465.76,23.288,489.048,23.288,4.761904762,8.4,Member,Male,Ewallet,1/27/2019,Sunday,January,20:33:00,Evening
373-73-7910,A,Yangon,Sports and travel,86.31,7,604.17,30.2085,634.3785,30.2085,4.761904762,5.3,Normal,Male,Ewallet,2/8/2019,Friday,February,10:37:00,Morning
699-14-3026,C,Naypyitaw,Electronic accessories,85.39,7,597.73,29.8865,627.6165,29.8865,4.761904762,4.1,Normal,Male,Ewallet,3/25/2019,Monday,March,18:30:00,Evening
355-53-5943,A,Yangon,Electronic accessories,68.84,6,413.04,20.652,433.692,20.652,4.761904762,5.8,Member,Female,Ewallet,2/25/2019,Monday,February,14:36:00,Afternoon
315-22-5665,C,Naypyitaw,Home and lifestyle,73.56,10,735.6,36.78,772.38,36.78,4.761904762,8,Normal,Female,Ewallet,2/24/2019,Sunday,February,11:38:00,Morning
665-32-9167,A,Yangon,Health and beauty,36.26,2,72.52,3.626,76.146,3.626,4.761904762,7.2,Member,Female,Credit card,1/10/2019,Thursday,January,17:15:00,Afternoon
692-92-5582,B,Mandalay,Food and beverages,54.84,3,164.52,8.226,172.746,8.226,4.761904762,5.9,Member,Female,Credit card,2/20/2019,Wednesday,February,13:27:00,Afternoon
